OBJECTID,ProjectID,NumCluster,FMU,District,Area_ha,MNRF_AS_YR,YRDEP,DepletionFU,YRORG,SILVSYS,SGR,TargetFU,TargetSpc,TargetSO,SFL_Name,SFL_AsMethod,SFL_AS_YR,SFL_SPCOMP,SFL_SO,SFL_FU,SFL_EffDens,Comment,IS_TEST,Contact,lat,lon,ORG_ProjectID,SHAPE_Length,SHAPE_Area
68,TIM-CHAMPAGNE-102,31,Spanish,Timmins,30.9760590,2021,2009,PJ2,,CC,PJ2-INTN1-PJ1,PJ1,Pj,,,,2020,PJ  60PO  20MR  10BF  10,0.7000000,PJ2,,,N,Andrew Corston,47.5079041,-81.7080307,TIM-CHAMPAGNE-102,0.056487110814640,0.000037011165247
69,TIM-CHAMPAGNE-116,33,Spanish,Timmins,33.0424919,2021,2010,PJ1,,CC,PJ1-INTN1-PJ1,PJ1,Pj,,,,2020,PJ  60SB  20BW  10PO  10,0.7000000,PJ2,,,N,Andrew Corston,47.5137291,-81.7019043,TIM-CHAMPAGNE-116,0.052312018714690,0.000039484580077
70,TIM-VROOMAN-233,30,Spanish,Timmins,22.4718227,2021,2011,PJ2,,CC,PJ2-INTN1-PJ1,PJ1,Pj,,,,2020,PJ  90SB  10,0.9000000,PJ1,,,N,Andrew Corston,47.4413528,-81.7630997,TIM-VROOMAN-233,0.053294024935591,0.000026816162214
71,TIM-WESTBROOK-328,30,Spanish,Timmins,10.3953428,2021,2013,SF1,,CC,SF1-EXTEN-SF1,SF1,Bf Sb Sw,,,,2020,SB  60BF  30LA  10,0.7000000,SF1,,,N,Andrew Corston,47.4342766,-81.7060623,TIM-WESTBROOK-328,0.031755365533578,0.000012403510820
72,SAU-NS-01,139,Northshore,Sault Ste. Marie,217.7720032,2022,2012,SP1/PJ2,0,CC,PJSP-b1-PJSP,PJSP,"Pj, Sb, Sw",0.5000000,NFI,Aerial,2020,PJ  60PO  20BF  10SB  10,0.8000000,PJ2,0, ,N,Darren Tree,47.0794449,-82.8188782,SSM-RAP01,0.313080877861684,0.000259889146748
73,SAU-NS-02,40,Northshore,Sudbury,39.9663010,2022,2011,PJ1,0,CC,PJ1-intn1-PJ1,PJ1,"Pj, Sb",0.5000000,NFI,Aerial,2020,PJ  80SB  10PO  10,1.0000000,PJ1,0, ,N,Darren Tree,46.5271492,-82.0474319,SSM-RAP02,0.056249634235177,0.000047218190016
74,SAU-NS-03,30,Northshore,Sault Ste. Marie,20.0918999,2022,2009,PJ1,0,CC,PJ1-INT-PJ1,PJ1,"Pj , Sb, Pr, Sw, Pw",0.7000000,NFI,Aerial,2020,PJ  90SB  10,0.9000000,PJ1,0, ,N,Darren Tree,46.9780655,-82.7139206,SSM-RAP03,0.024632160457824,0.000023762235102
75,SAU-NS-04,30,Northshore,Sault Ste. Marie,13.8600998,2022,2010,PJ1,0,CC,PJ1-intn1-PJ1,PJ1,"Pj, Sb",0.5000000,NFI,Aerial,2020,PJ 100,1.0000000,PJ1,0, ,N,Darren Tree,46.9684639,-82.7186279,SSM-RAP04,0.029970951432632,0.000016507227540
76,SAU-NS-05,81,Northshore,Sault Ste. Marie,101.9759979,2022,2005,MW1,0,CC,MW1-int-MW1,MW1,"Pj, Sb, Pr, Po, Bw, Sw",0.7000000,NFI,Aerial,2020,PO  60PW  20SW  10MS  10,0.9000000,PO1,0, ,N,Darren Tree,46.8047676,-83.3349609,SSM-RAP05,0.116337434784546,0.000121090310683
77,SAU-NS-06,30,Northshore,Sault Ste. Marie,14.4814997,2022,2013,MW1,0,CC,MW1-ext-PO1,PO1,"Po, Bw",0.5000000,NFI,Aerial,2020,PO  70MS  20BW  10,1.0000000,PO1,0, ,N,Darren Tree,47.0618401,-82.9838638,SSM-RAP06,0.037547221362218,0.000017276625068
78,CHA_MISS_BLK_1,30,Missinaibi,Chapleau,20.6136436,2022,2013,Pj2,0,CC,PJ2 BASC1 PJ1,PJ1,Pj,0.7000000,MFMI,Aerial,2020,PJ  70PO  20BF  10,0.6000000,PJ1,0, ,N,Meena Gurung,47.4872131,-83.2105026,Cha_Miss_Blk_1,0.049212312979441,0.000024735639563
